"where","source","written","derived","ok"
"Table2/Sec6","R06 MI: E4/Non-Aware b","0.030","0.030",TRUE
"Table2","R06 MI: E4/Non-Aware lcl","-0.008","-0.008",TRUE
"Table2","R06 MI: E4/Non-Aware ucl","0.068","0.068",TRUE
"Table2-5arm","R06 MI: E1/Partially-Aware b","0.035","0.035",TRUE
"Table2-5arm","R06 MI: E1/Partially-Aware lcl","0.020","0.019",TRUE
"Table2-5arm","R06 MI: E1/Partially-Aware ucl","0.051","0.051",TRUE
"Table2-5arm","R06 MI: E2/Partially-Aware b","0.093","0.093",TRUE
"Table2-5arm","R06 MI: E2/Partially-Aware lcl","0.070","0.070",TRUE
"Table2-5arm","R06 MI: E2/Partially-Aware ucl","0.116","0.116",TRUE
"Table2-5arm","R06 MI: E3/Partially-Aware b","0.035","0.035",TRUE
"Table2-5arm","R06 MI: E3/Partially-Aware lcl","-0.021","-0.021",TRUE
"Table2-5arm","R06 MI: E3/Partially-Aware ucl","0.091","0.091",TRUE
"Table2-5arm","R06 MI: E4/Partially-Aware b","0.028","0.028",TRUE
"Table2-5arm","R06 MI: E4/Partially-Aware lcl","-0.022","-0.022",TRUE
"Table2-5arm","R06 MI: E4/Partially-Aware ucl","0.077","0.077",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware b","0.035","0.035",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware lcl","0.020","0.020",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware ucl","0.051","0.051",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware b","0.093","0.093",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware lcl","0.068","0.068",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware ucl","0.117","0.117",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware b","0.035","0.035",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware lcl","-0.017","-0.017",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware ucl","0.086","0.086",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware b","0.028","0.028",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware lcl","-0.023","-0.023",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware ucl","0.078","0.077",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware-CV b","0.035","0.035",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware-CV lcl","0.020","0.020",TRUE
"Table2-5arm","R06 MI: E1/Fully-Aware-CV ucl","0.051","0.051",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware-CV b","0.086","0.086",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware-CV lcl","0.070","0.070",TRUE
"Table2-5arm","R06 MI: E2/Fully-Aware-CV ucl","0.102","0.102",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware-CV b","0.040","0.040",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware-CV lcl","-0.001","-0.001",TRUE
"Table2-5arm","R06 MI: E3/Fully-Aware-CV ucl","0.081","0.081",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware-CV b","0.015","0.015",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware-CV lcl","-0.028","-0.028",TRUE
"Table2-5arm","R06 MI: E4/Fully-Aware-CV ucl","0.059","0.059",TRUE
"appendix.Rmd WebF-mi","R06 MI: E1/Fully-Aware-CF fmi","0.034","0.034",TRUE
"appendix.Rmd WebF-mi","R06 MI: E2/Fully-Aware-CF fmi","0.089","0.089",TRUE
"appendix.Rmd WebF-mi","R06 MI: E3/Fully-Aware-CF fmi","0.104","0.104",TRUE
"appendix.Rmd WebF-mi","R06 MI: E4/Fully-Aware-CF fmi","0.054","0.054",TRUE
"appendix.Rmd WebF-mi","R06 MI: max Fully-Aware-CF FMI <= 0.11","<= 0.11","0.104",TRUE
"appendix.Rmd WebF-mi","R06 MI: |MI - single-imp| CF b <= 0.005 in 3 of 4; E3 = 0.010","<=0.005 (x3); E3 0.010","0.0104",TRUE
"appendix.Rmd WebF-mi","local_preview: E1/Fully-Aware-CF b (single imp)","0.035","0.035",TRUE
"appendix.Rmd WebF-mi","local_preview: E1/Fully-Aware-CF lcl (single imp)","0.020","0.020",TRUE
"appendix.Rmd WebF-mi","local_preview: E1/Fully-Aware-CF ucl (single imp)","0.051","0.051",TRUE
"appendix.Rmd WebF-mi","local_preview: E2/Fully-Aware-CF b (single imp)","0.091","0.091",TRUE
"appendix.Rmd WebF-mi","local_preview: E2/Fully-Aware-CF lcl (single imp)","0.075","0.075",TRUE
"appendix.Rmd WebF-mi","local_preview: E2/Fully-Aware-CF ucl (single imp)","0.107","0.107",TRUE
"appendix.Rmd WebF-mi","local_preview: E3/Fully-Aware-CF b (single imp)","0.042","0.042",TRUE
"appendix.Rmd WebF-mi","local_preview: E3/Fully-Aware-CF lcl (single imp)","0.002","0.002",TRUE
"appendix.Rmd WebF-mi","local_preview: E3/Fully-Aware-CF ucl (single imp)","0.083","0.083",TRUE
"appendix.Rmd WebF-mi","local_preview: E4/Fully-Aware-CF b (single imp)","0.015","0.015",TRUE
"appendix.Rmd WebF-mi","local_preview: E4/Fully-Aware-CF lcl (single imp)","-0.031","-0.031",TRUE
"appendix.Rmd WebF-mi","local_preview: E4/Fully-Aware-CF ucl (single imp)","0.061","0.061",TRUE
